time,Longitude,Latitude,Speed (km/h)
02/10/2024 11:26,-2.437806,51.376511,5.5
02/10/2024 11:26,-2.437818,51.37652,4.9
02/10/2024 11:26,-2.43783,51.376532,5.6
02/10/2024 11:26,-2.437844,51.376545,6.2
02/10/2024 11:26,-2.437852,51.376557,5.3
02/10/2024 11:26,-2.437858,51.37657,5.1
02/10/2024 11:26,-2.43786,51.376583,5.4
02/10/2024 11:26,-2.437861,51.376596,5.2
02/10/2024 11:26,-2.437861,51.376608,5
02/10/2024 11:26,-2.437858,51.376623,5.8
02/10/2024 11:26,-2.437855,51.376635,4.9
02/10/2024 11:26,-2.437853,51.376646,4.6
02/10/2024 11:26,-2.437848,51.376657,4.4
02/10/2024 11:26,-2.43784,51.376667,4.6
02/10/2024 11:26,-2.437832,51.376681,5.7
02/10/2024 11:26,-2.437823,51.376693,5.5
02/10/2024 11:26,-2.437817,51.376705,5
02/10/2024 11:26,-2.43781,51.376717,5
02/10/2024 11:26,-2.437802,51.376728,4.7
02/10/2024 11:26,-2.437794,51.376739,5
02/10/2024 11:26,-2.437787,51.376751,5.3
02/10/2024 11:26,-2.437781,51.376764,5.4
02/10/2024 11:27,-2.437778,51.376778,5.4
02/10/2024 11:27,-2.437775,51.37679,5
02/10/2024 11:27,-2.437773,51.376803,5.1
02/10/2024 11:27,-2.43777,51.376815,4.9
02/10/2024 11:27,-2.437767,51.376828,5.3
02/10/2024 11:27,-2.437766,51.37684,4.9
02/10/2024 11:27,-2.437764,51.376852,4.8
02/10/2024 11:27,-2.437762,51.376864,4.8
02/10/2024 11:27,-2.437761,51.376873,3.5
02/10/2024 11:27,-2.437763,51.376884,4.8
02/10/2024 11:27,-2.43777,51.376896,5.1
02/10/2024 11:27,-2.43778,51.376906,4.5
02/10/2024 11:27,-2.437789,51.376916,4.6
02/10/2024 11:27,-2.437797,51.376926,4.6
02/10/2024 11:27,-2.437805,51.376936,4.7
02/10/2024 11:27,-2.437815,51.376948,5.4
02/10/2024 11:27,-2.437825,51.376959,4.9
02/10/2024 11:27,-2.437831,51.37697,4.6
02/10/2024 11:27,-2.437832,51.376982,4.7
02/10/2024 11:27,-2.437836,51.37699,3.7
02/10/2024 11:27,-2.43784,51.377005,5.8
02/10/2024 11:27,-2.437837,51.377018,5.4
02/10/2024 11:27,-2.437831,51.37703,4.9
02/10/2024 11:27,-2.437826,51.377041,4.8
02/10/2024 11:27,-2.437821,51.377052,4.7
02/10/2024 11:27,-2.437817,51.377064,4.9
02/10/2024 11:27,-2.437814,51.377077,5.3
02/10/2024 11:27,-2.437805,51.37709,5.6
02/10/2024 11:27,-2.437795,51.377102,5.3
02/10/2024 11:27,-2.437787,51.377114,5.3
02/10/2024 11:27,-2.437778,51.377125,5
02/10/2024 11:27,-2.437768,51.377136,5
02/10/2024 11:27,-2.437761,51.377148,5.1
02/10/2024 11:27,-2.437753,51.377159,4.9
02/10/2024 11:27,-2.437743,51.37717,5.2
02/10/2024 11:27,-2.437733,51.377182,5.2
02/10/2024 11:27,-2.437724,51.377194,5.2
02/10/2024 11:27,-2.437717,51.377206,5.3
02/10/2024 11:27,-2.437712,51.377215,3.8
02/10/2024 11:27,-2.437703,51.377223,3.8
02/10/2024 11:27,-2.437689,51.377233,5.3
02/10/2024 11:27,-2.437678,51.377244,5.3
02/10/2024 11:27,-2.43767,51.377256,5.3
02/10/2024 11:27,-2.437661,51.377268,5.1
02/10/2024 11:27,-2.437649,51.377279,5.4
02/10/2024 11:27,-2.437635,51.37729,5.8
02/10/2024 11:27,-2.437622,51.377301,5.3
02/10/2024 11:27,-2.437612,51.377312,5.2
02/10/2024 11:27,-2.437602,51.377323,4.9
02/10/2024 11:27,-2.437595,51.377335,4.9
02/10/2024 11:27,-2.43759,51.377344,4
02/10/2024 11:27,-2.437579,51.377355,5.1
02/10/2024 11:27,-2.437569,51.377366,5.2
02/10/2024 11:27,-2.437562,51.377376,4.2
02/10/2024 11:27,-2.437552,51.377384,4
02/10/2024 11:27,-2.437542,51.377391,3.8
02/10/2024 11:27,-2.437529,51.377398,4.2
02/10/2024 11:27,-2.437515,51.377405,4.6
02/10/2024 11:27,-2.437504,51.377412,4
02/10/2024 11:27,-2.437498,51.377423,4.7
02/10/2024 11:28,-2.437492,51.377434,4.4
02/10/2024 11:28,-2.43748,51.377443,4.8
02/10/2024 11:28,-2.437463,51.377451,5.3
02/10/2024 11:28,-2.437448,51.377458,4.8
02/10/2024 11:28,-2.437437,51.377466,3.9
02/10/2024 11:28,-2.437424,51.377474,4.8
02/10/2024 11:28,-2.43741,51.377482,4.9
02/10/2024 11:28,-2.437398,51.377492,5
02/10/2024 11:28,-2.437376,51.377498,5.9
02/10/2024 11:28,-2.437348,51.377502,7
02/10/2024 11:28,-2.437322,51.377507,6.8
02/10/2024 11:28,-2.437306,51.377514,5
02/10/2024 11:28,-2.437295,51.377515,2.9
02/10/2024 11:28,-2.437282,51.377517,3.1
02/10/2024 11:28,-2.437262,51.377521,5.4
02/10/2024 11:28,-2.437243,51.377523,4.8
02/10/2024 11:28,-2.437228,51.377523,3.8
02/10/2024 11:28,-2.437213,51.377525,3.9
02/10/2024 11:28,-2.437197,51.377529,4.1
02/10/2024 11:28,-2.437182,51.377531,3.9
02/10/2024 11:28,-2.437166,51.377531,4
02/10/2024 11:28,-2.437149,51.377529,4.2
02/10/2024 11:28,-2.437133,51.377528,4
02/10/2024 11:28,-2.437115,51.377526,4.5
02/10/2024 11:28,-2.437096,51.377525,4.8
02/10/2024 11:28,-2.437077,51.377525,4.9
02/10/2024 11:28,-2.437057,51.377527,5
02/10/2024 11:28,-2.437038,51.377529,4.8
02/10/2024 11:28,-2.43702,51.37753,4.4
02/10/2024 11:28,-2.437001,51.377529,4.7
02/10/2024 11:28,-2.436984,51.377531,4.4
02/10/2024 11:28,-2.436967,51.377535,4.6
02/10/2024 11:28,-2.436949,51.377536,4.5
02/10/2024 11:28,-2.436931,51.377536,4.5
02/10/2024 11:28,-2.436913,51.377536,4.4
02/10/2024 11:28,-2.436895,51.377536,4.6
02/10/2024 11:28,-2.436877,51.377538,4.6
02/10/2024 11:28,-2.436859,51.377537,4.5
02/10/2024 11:28,-2.43684,51.377535,4.9
02/10/2024 11:28,-2.436823,51.377532,4.5
02/10/2024 11:28,-2.436804,51.37753,4.7
02/10/2024 11:28,-2.436784,51.377529,5
02/10/2024 11:28,-2.436766,51.377528,4.7
02/10/2024 11:28,-2.436746,51.377525,5
02/10/2024 11:28,-2.436726,51.377522,5
02/10/2024 11:28,-2.436707,51.37752,5
02/10/2024 11:28,-2.436691,51.377516,4.2
02/10/2024 11:28,-2.436677,51.377512,3.9
02/10/2024 11:28,-2.436663,51.377509,3.6
02/10/2024 11:28,-2.436648,51.377505,4.1
02/10/2024 11:28,-2.436631,51.377505,4.2
02/10/2024 11:28,-2.436618,51.377503,3.4
02/10/2024 11:28,-2.4366,51.3775,4.5
02/10/2024 11:28,-2.436579,51.3775,5.3
02/10/2024 11:28,-2.436556,51.377494,6
02/10/2024 11:28,-2.436536,51.377486,6
02/10/2024 11:28,-2.436517,51.377477,6.1
02/10/2024 11:28,-2.436499,51.377469,5.4
02/10/2024 11:28,-2.436481,51.377462,5.4
02/10/2024 11:28,-2.436462,51.377453,6
02/10/2024 11:29,-2.436449,51.377443,4.9
02/10/2024 11:29,-2.436438,51.377432,5.5
02/10/2024 11:29,-2.436427,51.377419,5.9
02/10/2024 11:29,-2.436429,51.377408,4.2
02/10/2024 11:29,-2.436429,51.377398,4.1
02/10/2024 11:29,-2.436433,51.377384,5.7
02/10/2024 11:29,-2.436434,51.37737,5.7
02/10/2024 11:29,-2.436435,51.377357,5
02/10/2024 11:29,-2.436433,51.377345,4.8
02/10/2024 11:29,-2.43643,51.377333,4.9
02/10/2024 11:29,-2.436426,51.377321,5.2
02/10/2024 11:29,-2.436419,51.377308,5.1
02/10/2024 11:29,-2.436409,51.377297,5.3
02/10/2024 11:29,-2.436402,51.377285,5.1
02/10/2024 11:29,-2.436394,51.377273,5.2
02/10/2024 11:29,-2.436392,51.377263,3.9
02/10/2024 11:29,-2.436392,51.377251,4.9
02/10/2024 11:29,-2.436393,51.377238,5
02/10/2024 11:29,-2.436394,51.377227,4.6
02/10/2024 11:29,-2.436396,51.377215,4.7
02/10/2024 11:29,-2.436401,51.377205,4.3
02/10/2024 11:29,-2.436408,51.377195,4.1
02/10/2024 11:29,-2.436415,51.377187,3.9
02/10/2024 11:29,-2.436417,51.377181,2.3
02/10/2024 11:29,-2.436414,51.377175,2.3
02/10/2024 11:29,-2.436415,51.377167,3.3
02/10/2024 11:29,-2.436419,51.377157,4.3
02/10/2024 11:29,-2.436426,51.377146,4.7
02/10/2024 11:29,-2.436438,51.377137,4.4
02/10/2024 11:29,-2.43645,51.377134,3.4
02/10/2024 11:29,-2.43647,51.377131,5.2
02/10/2024 11:29,-2.436491,51.377132,5.3
02/10/2024 11:29,-2.436513,51.377135,5.6
02/10/2024 11:29,-2.436533,51.377138,5.1
02/10/2024 11:29,-2.436551,51.377141,4.6
02/10/2024 11:29,-2.43657,51.377145,4.9
02/10/2024 11:29,-2.436593,51.377149,6.1
02/10/2024 11:29,-2.436614,51.377154,5.6
02/10/2024 11:29,-2.436631,51.377157,4.3
02/10/2024 11:29,-2.436648,51.377161,4.4
02/10/2024 11:29,-2.436666,51.377163,4.6
02/10/2024 11:29,-2.436685,51.377163,4.8
02/10/2024 11:29,-2.436705,51.377166,5.2
02/10/2024 11:29,-2.436725,51.377169,5.2
02/10/2024 11:29,-2.436742,51.377174,4.7
02/10/2024 11:29,-2.436752,51.377176,2.6
02/10/2024 11:29,-2.436765,51.377181,3.8
02/10/2024 11:29,-2.436777,51.377188,4.1
02/10/2024 11:29,-2.436786,51.377199,5.1
02/10/2024 11:29,-2.436795,51.377207,3.9
02/10/2024 11:29,-2.436793,51.377209,0.8
02/10/2024 11:29,-2.436792,51.377208,0
02/10/2024 11:29,-2.436792,51.377208,0
02/10/2024 11:29,-2.436793,51.37721,0.7
02/10/2024 11:29,-2.436796,51.377211,1
02/10/2024 11:29,-2.436797,51.377214,1.2
02/10/2024 11:29,-2.436798,51.377215,0.3
02/10/2024 11:29,-2.436797,51.377215,0
02/10/2024 11:29,-2.436797,51.377215,0
02/10/2024 11:29,-2.436796,51.377216,0.5
02/10/2024 11:30,-2.436792,51.37722,1.9
02/10/2024 11:30,-2.436776,51.377231,6.1
02/10/2024 11:30,-2.436769,51.377235,2.3
02/10/2024 11:30,-2.43676,51.377235,2.1
02/10/2024 11:30,-2.436764,51.37724,2
02/10/2024 11:30,-2.436775,51.377241,2.6
02/10/2024 11:30,-2.43678,51.377238,1.7
02/10/2024 11:30,-2.436786,51.377234,2.1
02/10/2024 11:30,-2.436794,51.37723,2.7
02/10/2024 11:30,-2.436797,51.377225,2.1
02/10/2024 11:30,-2.436802,51.377215,4.2
02/10/2024 11:30,-2.436807,51.377203,4.9
02/10/2024 11:30,-2.436812,51.377191,4.9
02/10/2024 11:30,-2.436818,51.377181,4.4
02/10/2024 11:30,-2.43682,51.377178,1.4
02/10/2024 11:30,-2.436809,51.377175,2.9
02/10/2024 11:30,-2.436804,51.377173,1.4
02/10/2024 11:30,-2.436807,51.37716,5.2
02/10/2024 11:30,-2.436812,51.377147,5.8
02/10/2024 11:30,-2.436813,51.377138,3.5
02/10/2024 11:30,-2.436811,51.377134,1.5
02/10/2024 11:30,-2.436813,51.377133,0.5
